Date,California 1 (ID:46673),California 2 (ID:4904),New York 1 (ID:12631),New York 2 (ID:20974)
2015-06-16,162.18,359.08,269.47,248.24
2015-06-17,175.32,343.51,261.56,272.68
2015-06-18,166.68,305.83,337.23,311.72
2015-06-19,102.87,220.87,309.92,197.39
2015-06-20,78.84,222.35,236.91,184.36
2015-06-21,170.72,346.98,254.17,187.6
2015-06-22,177.45,341.91,235.22,245.69
2015-06-23,162.18,361.42,269.47,241.51
2015-06-24,175.32,346.56,261.56,269.57
2015-06-25,166.68,308.57,337.23,311.26
2015-06-26,102.87,223.47,309.92,193.28
2015-06-27,78.84,224.82,236.91,188.94
2015-06-28,170.72,349.33,254.17,191.06
2015-06-29,177.45,344.15,235.22,249.32
